"Study","UniProt","Gene.Name","Description","SomaID","SomaScan.SeqID","OlinkID_Previous.study","Correlation_Previous.study","N_Previous.study","P.value_Previous.study","Adj.p.value_Previous.study","Cor.interval_Previous.study","Cor.method_Previous.study","OlinkID_Sissala","Correlation_Sissala","N_Sissala","P.value_Sissala","Adj.p.value_Sissala","Cor.interval_Sissala","Cor.method_Sissala"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q96GP6","SCARF2","Scavenger receptor class F member 2",NA,"9925-56","OID21048",0.0730675603179096,78,NA,NA,"No correlation","Spearman","OID21048",0.498989898989899,54,0.000150220397563947,0.000251257524221771,"Weak correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P04216","THY1","Thy-1 membrane glycoprotein",NA,"20564-53","OID21050",0.627338657169669,78,NA,NA,"Moderate correlation","Spearman","OID21050",0.612799830932338,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q10588","BST1","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2",NA,"4535-50","OID21051",0.855713906346818,78,NA,NA,"Strong correlation","Spearman","OID21051",0.851572681483569,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","O75509","TNFRSF21","Tumor necrosis factor receptor superfamily member 21",NA,"5404-53","OID21052",0.892252635057701,78,NA,NA,"Strong correlation","Spearman","OID21052",0.576190476190476,35,0.000372349224390225,0.000597983320535652,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","O75509","TNFRSF21","Tumor necrosis factor receptor superfamily member 21",NA,"9259-35","OID21052",0.854550512778361,78,NA,NA,"Strong correlation","Spearman","OID21052",0.576190476190476,35,0.000372349224390225,0.000597983320535652,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q9BRF8","CPPED1","Serine/threonine-protein phosphatase CPPED1",NA,"21108-5","OID21053",-0.0566648541332086,78,NA,NA,"No correlation","Spearman","OID21053",0.792752637808164,62,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P14384","CPM","Carboxypeptidase M",NA,"7768-10","OID21054",0.885506898165126,78,NA,NA,"Strong correlation","Spearman","OID21054",0.722852312352506,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P14384","CPM","Carboxypeptidase M",NA,"9416-77","OID21054",0.923848303595139,78,NA,NA,"Strong correlation","Spearman","OID21054",0.722852312352506,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","O14594","NCAN","Neurocan core protein",NA,"15573-110","OID21055",0.970839287294983,78,NA,NA,"Strong correlation","Spearman","OID21055",0.220025193724472,68,0.0715227329686396,0.0915523418612179,"No correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P25774","CTSS","Cathepsin S",NA,"3181-50","OID21056",0.62831237316076,78,NA,NA,"Moderate correlation","Spearman","OID21056",0.259043358810891,88,0.0150246272013435,0.0206109405957677,"No correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P55291","CDH15","Cadherin-15",NA,"11215-6","OID21005",0.0141251153909382,78,NA,NA,"No correlation","Spearman","OID21005",0.461290322580645,31,0.00964343267043488,0.0134745488674765,"Weak correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P55291","CDH15","Cadherin-15",NA,"35714-32","OID21005",0.157718693714948,78,NA,NA,"No correlation","Spearman","OID21005",0.461290322580645,31,0.00964343267043488,0.0134745488674765,"Weak correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P55291","CDH15","Cadherin-15",NA,"5410-53","OID21005",0.0529976352761163,78,NA,NA,"No correlation","Spearman","OID21005",0.461290322580645,31,0.00964343267043488,0.0134745488674765,"Weak correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q9HCK4","ROBO2","Roundabout homolog 2",NA,"22578-17","OID21007",0.672251798834077,78,NA,NA,"Moderate correlation","Spearman","OID21007",0.645470383275261,41,8.77907114881852e-06,1.58331810335721e-05,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q9HCK4","ROBO2","Roundabout homolog 2",NA,"5116-62","OID21007",0.619241517975695,78,NA,NA,"Moderate correlation","Spearman","OID21007",0.645470383275261,41,8.77907114881852e-06,1.58331810335721e-05,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P22223","CDH3","Cadherin-3",NA,"2643-57","OID21008",0.111445516508808,78,NA,NA,"No correlation","Spearman","OID21008",0.426215644820296,44,0.00421297960465281,0.00611369405353859,"Weak correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P01732","CD8A","T-cell surface glycoprotein CD8 alpha chain",NA,"15462-28","OID21018",0.841576145373614,78,NA,NA,"Strong correlation","Spearman","OID21018",0.651948051948052,21,0.00176690886614429,0.00268123670682379,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P01732","CD8A","T-cell surface glycoprotein CD8 alpha chain",NA,"5992-50","OID21018",0.912189076746039,78,NA,NA,"Strong correlation","Spearman","OID21018",0.651948051948052,21,0.00176690886614429,0.00268123670682379,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P22894","MMP8","Neutrophil collagenase",NA,"2954-56","OID21019",0.129783251989436,78,NA,NA,"No correlation","Spearman","OID21019",0.709661411612017,68,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P22894","MMP8","Neutrophil collagenase",NA,"9172-69","OID21019",0.924556456202026,78,NA,NA,"Strong correlation","Spearman","OID21019",0.709661411612017,68,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q92854","SEMA4D","Semaphorin-4D",NA,"5737-61","OID21020",0.258943588057512,78,NA,NA,"No correlation","Spearman","OID21020",0.470501215173823,88,4.89477564855936e-06,9.04451997908923e-06,"Weak correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","O14737","PDCD5","Programmed cell death protein 5",NA,"12517-52","OID21021",0.917323183145968,78,NA,NA,"Strong correlation","Spearman","OID21021",0.890909090909091,10,0.00138026714145767,0.00210584000365636,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q9UNZ2","NSFL1C","NSFL1 cofactor p47",NA,"4250-23","OID21022",0.884697580900112,78,NA,NA,"Strong correlation","Spearman","OID21022",0.829893276038181,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P35237","SERPINB6","Serpin B6",NA,"29772-27","OID21023",0.0127088101771646,78,NA,NA,"No correlation","Spearman","OID21023",0.747965904688106,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P28906","CD34","Hematopoietic progenitor cell antigen CD34",NA,"11285-8","OID21025",-0.199611778173783,78,NA,NA,"No correlation","Spearman","OID21025",0.624364342422409,88,8.03407918207469e-11,2.11432992926861e-10,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P13611","VCAN","Versican core protein",NA,"9561-21","OID21026",0.131289755596704,78,NA,NA,"No correlation","Spearman","OID21026",0.596439012363073,88,8.93553234033021e-10,2.25183393130196e-09,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P17405","SMPD1","Sphingomyelin phosphodiesterase",NA,"10818-36","OID21028",0.923259798825969,78,NA,NA,"Strong correlation","Spearman","OID21028",0.701425640420632,88,2.72085152746189e-14,7.52902297672666e-14,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q10589","BST2","Bone marrow stromal antigen 2",NA,"8832-55","OID21029",0.208061711616185,78,NA,NA,"No correlation","Spearman","OID21029",0.238095238095238,8,0.582142857142857,0.62833583720295,"No correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q10589","BST2","Bone marrow stromal antigen 2",NA,"8832-8","OID21029",0.170918770592135,78,NA,NA,"No correlation","Spearman","OID21029",0.238095238095238,8,0.582142857142857,0.62833583720295,"No correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P50225","SULT1A1","Sulfotransferase 1A1",NA,"21227-18","OID21031",0.759152240164898,78,NA,NA,"Strong correlation","Spearman","OID21031",0.71698152593675,66,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q8NBJ7","SUMF2","Inactive C-alpha-formylglycine-generating enzyme 2",NA,"26793-1","OID21032",0.977313825415091,78,NA,NA,"Strong correlation","Spearman","OID21032",0.303921568627451,17,0.235017254877754,0.277256510717852,"Weak correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q8NBJ7","SUMF2","Inactive C-alpha-formylglycine-generating enzyme 2",NA,"6069-71","OID21032",0.018905145487424,78,NA,NA,"No correlation","Spearman","OID21032",0.303921568627451,17,0.235017254877754,0.277256510717852,"Weak correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P01236","PRL","Prolactin",NA,"10967-12","OID21033",0.914591737376547,78,NA,NA,"Strong correlation","Spearman","OID21033",0.699701840808919,57,1.45409801451777e-09,3.60808056789134e-09,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P01236","PRL","Prolactin",NA,"2585-2","OID21033",0.931966767409805,78,NA,NA,"Strong correlation","Spearman","OID21033",0.699701840808919,57,1.45409801451777e-09,3.60808056789134e-09,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P04179","SOD2","Superoxide dismutase [Mn], mitochondrial",NA,"5008-51","OID21114",0.138987594683797,78,NA,NA,"No correlation","Spearman","OID21114",0.714557430171533,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q9UKK9","NUDT5","ADP-sugar pyrophosphatase",NA,"17761-2","OID21115",0.839957510843587,78,NA,NA,"Strong correlation","Spearman","OID21115",0.786820774162546,78,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P14778","IL1R1","Interleukin-1 receptor type 1",NA,"2991-9","OID21116",0.891450321830069,78,NA,NA,"Strong correlation","Spearman","OID21116",0.453481972645253,88,9.12263988090344e-06,1.64265716515789e-05,"Weak correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q8IWV2","CNTN4","Contactin-4",NA,"3298-52","OID21117",0.823644709720659,78,NA,NA,"Strong correlation","Spearman","OID21117",0.62438801028495,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q9UKJ1","PILRA","Paired immunoglobulin-like type 2 receptor alpha",NA,"10816-150","OID21129",-0.225231889835493,78,NA,NA,"No correlation","Spearman","OID21129",0.533479152426521,76,1.06025289598438e-06,2.06740158819752e-06,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q9UKJ1","PILRA","Paired immunoglobulin-like type 2 receptor alpha",NA,"6402-8","OID21129",-0.239722303013442,78,NA,NA,"No correlation","Spearman","OID21129",0.533479152426521,76,1.06025289598438e-06,2.06740158819752e-06,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q9UKJ1","PILRA","Paired immunoglobulin-like type 2 receptor alpha",NA,"8825-4","OID21129",0.358795374223931,78,NA,NA,"Weak correlation","Spearman","OID21129",0.533479152426521,76,1.06025289598438e-06,2.06740158819752e-06,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q6UXG3","CD300LG","CMRF35-like molecule 9",NA,"20585-5","OID21130",0.913529508466217,78,NA,NA,"Strong correlation","Spearman","OID21130",0.818181818181818,10,0.0068111327718268,0.00966051369270409,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q6UXG3","CD300LG","CMRF35-like molecule 9",NA,"20585-9","OID21130",0.0289483003967202,78,NA,NA,"No correlation","Spearman","OID21130",0.818181818181818,10,0.0068111327718268,0.00966051369270409,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P16284","PECAM1","Platelet endothelial cell adhesion molecule",NA,"2695-25","OID21131",0.210804522117403,78,NA,NA,"No correlation","Spearman","OID21131",0.450987989151492,88,1.29364061265405e-05,2.30365970297543e-05,"Weak correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q9UBW5","BIN2","Bridging integrator 2",NA,"21540-73","OID21067",0.905132841841702,78,NA,NA,"Strong correlation","Spearman","OID21067",0.845567257229404,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","O76076","CCN5","CCN family member 5",NA,"6392-7","OID21068",0.914971104844522,78,NA,NA,"Strong correlation","Spearman","OID21068",0.526209677419355,63,1.29184054656684e-05,2.30365970297543e-05,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q96F46","IL17RA","Interleukin-17 receptor A",NA,"2992-59","OID21089",0.954172409868612,78,NA,NA,"Strong correlation","Spearman","OID21089",0.783333333333333,9,0.0172233245149912,0.0234278715390663,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q86T13","CLEC14A","C-type lectin domain family 14 member A",NA,"26326-7","OID21090",0.864128682276041,78,NA,NA,"Strong correlation","Spearman","OID21090",0.263025210084034,35,0.126728354605396,0.157399683552796,"No correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q9HCN6","GP6","Platelet glycoprotein VI",NA,"3194-36","OID21091",0.954754106652841,78,NA,NA,"Strong correlation","Spearman","OID21091",0.932156899012676,88,1.04175452042874e-39,3.35082864263262e-39,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q9P232","CNTN3","Contactin-3",NA,"20586-18","OID21092",0.88589186696005,78,NA,NA,"Strong correlation","Spearman","OID21092",0.785125567961678,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P55103","INHBC","Inhibin beta C chain",NA,"15686-49","OID21093",0.743168224180882,78,NA,NA,"Strong correlation","Spearman","OID21093",0.468557238906125,88,4.14498418672948e-06,7.74782640201587e-06,"Weak correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P55103","INHBC","Inhibin beta C chain",NA,"6408-2","OID21093",0.658392240670722,78,NA,NA,"Moderate correlation","Spearman","OID21093",0.468557238906125,88,4.14498418672948e-06,7.74782640201587e-06,"Weak correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","O15394","NCAM2","Neural cell adhesion molecule 2",NA,"26070-9","OID21095",0.865772618364897,78,NA,NA,"Strong correlation","Spearman","OID21095",0.755961396217111,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","O15394","NCAM2","Neural cell adhesion molecule 2",NA,"6507-16","OID21095",0.866878272085789,78,NA,NA,"Strong correlation","Spearman","OID21095",0.755961396217111,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q8N6Q3","CD177","CD177 antigen",NA,"13116-25","OID21119",0.884975783709961,78,NA,NA,"Strong correlation","Spearman","OID21119",0.780701754385965,19,0.000118321962436041,0.000199084196110716,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q5T2D2","TREML2","Trem-like transcript 2 protein",NA,"5736-1","OID21120",0.741010514882949,78,NA,NA,"Strong correlation","Spearman","OID21120",0.643657904479822,74,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q99972","MYOC","Myocilin",NA,"16558-2","OID21121",0.508406203972048,78,NA,NA,"Moderate correlation","Spearman","OID21121",0.557828879883184,88,1.64186987923897e-08,3.75237063494088e-08,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q8TCZ2","CD99L2","CD99 antigen-like protein 2",NA,"10539-30","OID21122",0.0878488600007587,78,NA,NA,"No correlation","Spearman","OID21122",0.39169102884717,88,0.000180554960067135,0.000298895234480638,"Weak correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P20774","OGN","Mimecan",NA,"17224-12","OID21123",0.633657481758747,78,NA,NA,"Moderate correlation","Spearman","OID21123",0.62824486633088,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P20827","EFNA1","Ephrin-A1",NA,"20091-138","OID21125",0.857767914178391,78,NA,NA,"Strong correlation","Spearman","OID21125",0.631056633519525,88,4.38154885073701e-11,1.1584938296211e-10,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q9NPH3","IL1RAP","Interleukin-1 receptor accessory protein",NA,"14048-7","OID21126",0.894434679244806,78,NA,NA,"Strong correlation","Spearman","OID21126",0.878204704865266,88,2.76336589376813e-29,8.66622248351173e-29,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q9NPH3","IL1RAP","Interleukin-1 receptor accessory protein",NA,"2630-12","OID21126",0.89268958889212,78,NA,NA,"Strong correlation","Spearman","OID21126",0.878204704865266,88,2.76336589376813e-29,8.66622248351173e-29,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","O43505","B4GAT1","Beta-1,4-glucuronyltransferase 1",NA,"26076-4","OID21127",0.697711767434927,78,NA,NA,"Moderate correlation","Spearman","OID21127",0.473600788982424,88,4.17329383246211e-06,7.7749979155936e-06,"Weak correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P00352","ALDH1A1","Aldehyde dehydrogenase 1A1",NA,"11265-8","OID21128",0.890760446915508,78,NA,NA,"Strong correlation","Spearman","OID21128",0.908650628720369,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q16881","TXNRD1","Thioredoxin reductase 1, cytoplasmic",NA,"13967-14","OID21135",0.867524880183108,78,NA,NA,"Strong correlation","Spearman","OID21135",0.446215349934839,88,1.6273392576412e-05,2.87522069151317e-05,"Weak correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P16871","IL7R","Interleukin-7 receptor subunit alpha",NA,"5089-11","OID21136",0.0320065758332692,78,NA,NA,"No correlation","Spearman","OID21136",0.730914476119955,74,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q8TDQ0","HAVCR2","Hepatitis A virus cellular receptor 2",NA,"11481-25","OID21137",0.00948424666647688,78,NA,NA,"No correlation","Spearman","OID21137",0.735714285714286,64,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q8TDQ0","HAVCR2","Hepatitis A virus cellular receptor 2",NA,"5134-52","OID21137",0.860714353476109,78,NA,NA,"Strong correlation","Spearman","OID21137",0.735714285714286,64,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q8TDQ0","HAVCR2","Hepatitis A virus cellular receptor 2",NA,"7152-5","OID21137",0.356885879228414,78,NA,NA,"Weak correlation","Spearman","OID21137",0.735714285714286,64,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P15289","ARSA","Arylsulfatase A",NA,"3583-54","OID21138",0.552118767308641,78,NA,NA,"Moderate correlation","Spearman","OID21138",0.34984520123839,18,0.15495006143369,0.189532632024524,"Weak correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P15289","ARSA","Arylsulfatase A",NA,"8790-6","OID21138",0.173029502143426,78,NA,NA,"No correlation","Spearman","OID21138",0.34984520123839,18,0.15495006143369,0.189532632024524,"Weak correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P23280","CA6","Carbonic anhydrase 6",NA,"13747-9","OID21096",0.91793597503052,78,NA,NA,"Strong correlation","Spearman","OID21096",0.900003522242965,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P23280","CA6","Carbonic anhydrase 6",NA,"3352-80","OID21096",0.957561425915856,78,NA,NA,"Strong correlation","Spearman","OID21096",0.900003522242965,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P08648","ITGA5","Integrin alpha-5",NA,"6932-42","OID21139",0.537516518407022,78,NA,NA,"Moderate correlation","Spearman","OID21139",0.393751540981297,88,0.00016599639176763,0.000276415820509814,"Weak correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P00995","SPINK1","Serine protease inhibitor Kazal-type 1",NA,"8243-55","OID21097",0.440761769875694,78,NA,NA,"Weak correlation","Spearman","OID21097",0.724076761812611,53,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q14696","MESD","LRP chaperone MESD",NA,"15299-102","OID21099",0.743370553497136,78,NA,NA,"Strong correlation","Spearman","OID21099",0.82327145926526,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q14696","MESD","LRP chaperone MESD",NA,"5594-87","OID21099",0.459709646746937,78,NA,NA,"Weak correlation","Spearman","OID21099",0.82327145926526,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P05164","MPO","Myeloperoxidase",NA,"2580-83","OID21100",0.832362778774455,78,NA,NA,"Strong correlation","Spearman","OID21100",0.662269733366208,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P01833","PIGR","Polymeric immunoglobulin receptor",NA,"3216-2","OID21102",0.591952351446022,78,NA,NA,"Moderate correlation","Spearman","OID21102",0.546810608995809,88,6.10131582838174e-08,1.32724192104874e-07,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P14780","MMP9","Matrix metalloproteinase-9",NA,"2579-17","OID21103",0.946408022357389,78,NA,NA,"Strong correlation","Spearman","OID21103",0.924941002430348,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P35442","THBS2","Thrombospondin-2",NA,"14111-15","OID21104",0.210803189240226,78,NA,NA,"No correlation","Spearman","OID21104",0.389249556413736,66,0.00133841116118995,0.0020502933527591,"Weak correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P35442","THBS2","Thrombospondin-2",NA,"3339-33","OID21104",0.837251356238698,78,NA,NA,"Strong correlation","Spearman","OID21104",0.389249556413736,66,0.00133841116118995,0.0020502933527591,"Weak correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q13093","PLA2G7","Platelet-activating factor acetylhydrolase",NA,"5015-15","OID21105",0.744913314533568,78,NA,NA,"Strong correlation","Spearman","OID21105",0.641045058714744,88,1.72435034628865e-11,4.61325009706134e-11,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P22105","TNXB","Tenascin-X",NA,"5698-60","OID21107",0.842259006815969,78,NA,NA,"Strong correlation","Spearman","OID21107",0.630551935472509,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q6YHK3","CD109","CD109 antigen",NA,"3290-50","OID21108",0.799319663388449,78,NA,NA,"Strong correlation","Spearman","OID21108",0.75892008030714,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","O43278","SPINT1","Kunitz-type protease inhibitor 1",NA,"2828-82","OID21109",0.303683658114038,78,NA,NA,"Weak correlation","Spearman","OID21109",0.846817653481737,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q96RD9","FCRL5","Fc receptor-like protein 5",NA,"6103-70","OID21111",0.0792893048101927,78,NA,NA,"No correlation","Spearman","OID21111",0.850234229157127,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q9Y240","CLEC11A","C-type lectin domain family 11 member A",NA,"2966-65","OID21112",0.924271451803727,78,NA,NA,"Strong correlation","Spearman","OID21112",0.141172119564432,88,0.189534392791792,0.227642903682908,"No correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q9Y240","CLEC11A","C-type lectin domain family 11 member A",NA,"4500-50","OID21112",0.941090182558946,78,NA,NA,"Strong correlation","Spearman","OID21112",0.141172119564432,88,0.189534392791792,0.227642903682908,"No correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q14126","DSG2","Desmoglein-2",NA,"20517-1","OID21113",0.755965553433908,78,NA,NA,"Strong correlation","Spearman","OID21113",0.673376569062605,88,6.5761550877337e-13,1.77619117082568e-12,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q14126","DSG2","Desmoglein-2",NA,"9484-75","OID21113",0.731930929407576,78,NA,NA,"Strong correlation","Spearman","OID21113",0.673376569062605,88,6.5761550877337e-13,1.77619117082568e-12,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P30043","BLVRB","Flavin reductase (NADPH)",NA,"17148-7","OID21141",0.815852702460337,78,NA,NA,"Strong correlation","Spearman","OID21141",0.887957451304991,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P07108","DBI","Acyl-CoA-binding protein",NA,"16919-1","OID21143",0.949291215114,78,NA,NA,"Strong correlation","Spearman","OID21143",0.811965059349794,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q9Y279","VSIG4","V-set and immunoglobulin domain-containing protein 4",NA,"17678-28","OID21144",0.955847670371984,78,NA,NA,"Strong correlation","Spearman","OID21144",0.87504843084076,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P20333","TNFRSF1B","Tumor necrosis factor receptor superfamily member 1B",NA,"3152-57","OID21145",0.897241998507821,78,NA,NA,"Strong correlation","Spearman","OID21145",0.916666666666667,9,0.00131172839506173,0.00201488620139414,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P20333","TNFRSF1B","Tumor necrosis factor receptor superfamily member 1B",NA,"8368-102","OID21145",0.902097902097902,78,NA,NA,"Strong correlation","Spearman","OID21145",0.916666666666667,9,0.00131172839506173,0.00201488620139414,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P11717","IGF2R","Cation-independent mannose-6-phosphate receptor",NA,"16057-6","OID21146",0.880246335942538,78,NA,NA,"Strong correlation","Spearman","OID21146",0.583459547039555,88,4.00310202345248e-09,9.57521649253781e-09,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P11717","IGF2R","Cation-independent mannose-6-phosphate receptor",NA,"3676-15","OID21146",0.801514940755447,78,NA,NA,"Strong correlation","Spearman","OID21146",0.583459547039555,88,4.00310202345248e-09,9.57521649253781e-09,"Moderate correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","Q99727","TIMP4","Metalloproteinase inhibitor 4",NA,"6462-12","OID21147",0.92840071321084,78,NA,NA,"Strong correlation","Spearman","OID21147",0.763736263736264,13,0.00360204194163413,0.00528830344877105,"Strong correlation","Spearman"
"Kirsher et al. (Olink 3K - SomaScan 11K)","P00918","CA2","Carbonic anhydrase 2",NA,"4970-50","OID21149",0.311296298638071,78,NA,NA,"Weak correlation","Spearman","OID21149",0.904194991370505,88,0,0,"Strong correlation","Spearman"
