"Study","UniProt","Gene.Name","Description","OlinkID_Previous.study","Correlation_Previous.study","N_Previous.study","P.value_Previous.study","Adj.p.value_Previous.study","Cor.interval_Previous.study","Cor.method_Previous.study","OlinkID_Sissala","Correlation_Sissala","N_Sissala","P.value_Sissala","Adj.p.value_Sissala","Cor.interval_Sissala","Cor.method_Sissala"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O43291","SPINT2","Kunitz-type protease inhibitor 2","OID44955",0.114496394133377,78,NA,NA,"No correlation","Spearman","OID20720",0.0515384615384615,25,0.8066552976447,0.8362845096794,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O43396","TXNL1","Thioredoxin-like protein 1","OID43258",-0.121840185131324,78,NA,NA,"No correlation","Spearman","OID30872",0.0938149413546547,88,0.38393411199781,0.433461612445527,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O43399","TPD52L2","Tumor protein D54","OID44996",0.658569278822443,78,NA,NA,"Moderate correlation","Spearman","OID30609",0.798686679174484,40,3.88429633232873e-08,8.64964607337108e-08,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O43493","TGOLN2","Trans-Golgi network integral membrane protein 2","OID45422",0.441975745773214,78,NA,NA,"Weak correlation","Spearman","OID30691",0.668809383363813,88,1.0692232727567e-12,2.88103359174777e-12,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O43505","B4GAT1","Beta-1,4-glucuronyltransferase 1","OID45038",0.414737161572605,78,NA,NA,"Weak correlation","Spearman","OID21127",0.473600788982424,88,4.17329383246211e-06,7.7749979155936e-06,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O43508","TNFSF12","Tumor necrosis factor ligand superfamily member 12","OID44347",0.0754137314490203,78,NA,NA,"No correlation","Spearman","OID20624",0.125383395029085,61,0.334734359851501,0.38096279462938,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O43583","DENR","Density-regulated protein","OID42370",0.117888436381587,78,NA,NA,"No correlation","Spearman","OID30493",0.68907681465821,44,6.41912820883246e-07,1.28268951287997e-06,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O43598","DNPH1","2'-deoxynucleoside 5'-phosphate N-hydrolase 1","OID44610",0.641345995776375,78,NA,NA,"Moderate correlation","Spearman","OID20744",0.563636363636364,21,0.00882016806570389,0.0124009585880195,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O43639","NCK2","Cytoplasmic protein NCK2","OID44804",0.742662400890249,78,NA,NA,"Strong correlation","Spearman","OID20683",0.677887154861945,50,1.93167483768018e-07,4.00893546275906e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O43665","RGS10","Regulator of G-protein signaling 10","OID44182",0.796886657646151,78,NA,NA,"Strong correlation","Spearman","OID30999",0.652918178295939,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O43681","GET3","ATPase GET3","OID44676",0.0885553470919324,78,NA,NA,"No correlation","Spearman","OID30303",-0.0255839822024472,30,0.893483018507588,0.912063587608559,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O43707","ACTN4","Alpha-actinin-4","OID42087",0.116731369895927,78,NA,NA,"No correlation","Spearman","OID20435",0.0312951287379804,88,0.771848035490566,0.803889697480488,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O43768","ENSA","Alpha-endosulfine","OID42412",0.10770242415812,78,NA,NA,"No correlation","Spearman","OID31355",0.668772893772894,64,1.46138326838906e-09,3.61820550441064e-09,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O43827","ANGPTL7","Angiopoietin-related protein 7","OID43363",0.0328619029988893,78,NA,NA,"No correlation","Spearman","OID21412",0.0714285714285714,8,0.881994047619048,0.904439506507164,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O43866","CD5L","CD5 antigen-like","OID45450",0.823138886430026,78,NA,NA,"Strong correlation","Spearman","OID30775",0.758761579373745,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O43895","XPNPEP2","Xaa-Pro aminopeptidase 2","OID45020",0.977996686857446,78,NA,NA,"Strong correlation","Spearman","OID21508",0.947448134972351,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O43915","VEGFD","Vascular endothelial growth factor D","OID44391",0.680951959432972,78,NA,NA,"Moderate correlation","Spearman","OID20662",0.703349282296651,76,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O60234","GMFG","Glia maturation factor gamma","OID44687",0.639777943575412,78,NA,NA,"Moderate correlation","Spearman","OID30340",0.873850868232891,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O60243","HS6ST1","Heparan-sulfate 6-O-sulfotransferase 1","OID43818",0.0402003060230908,78,NA,NA,"No correlation","Spearman","OID21441",-0.283333333333333,9,0.462990520282187,0.514484544683651,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O60245","PCDH7","Protocadherin-7","OID44077",0.0286292654713707,78,NA,NA,"No correlation","Spearman","OID31456",0.369333219499701,52,0.00736399207593277,0.0104054406179325,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O60279","SUSD5","Sushi domain-containing protein 5","OID44967",0.752854740196512,78,NA,NA,"Strong correlation","Spearman","OID30650",0.832834348913388,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O60462","NRP2","Neuropilin-2","OID45204",0.510211307679662,78,NA,NA,"Moderate correlation","Spearman","OID21081",0.603691343154531,88,4.78657108962196e-10,1.22540561455401e-09,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O60476","MAN1A2","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB","OID43954",0.18564979324473,78,NA,NA,"No correlation","Spearman","OID30262",0.0671791443850267,33,0.709436708979476,0.748054498996409,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O60664","PLIN3","Perilipin-3","OID44855",0.319743547591649,78,NA,NA,"Weak correlation","Spearman","OID20143",0.473653622626889,88,4.16191446952635e-06,7.76661394395908e-06,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O60749","SNX2","Sorting nexin-2","OID44270",0.513549741397842,78,NA,NA,"Moderate correlation","Spearman","OID31374",0.1,9,0.809981261022928,0.838962241921913,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O60760","HPGDS","Hematopoietic prostaglandin D synthase","OID42572",0.20475106685633,78,NA,NA,"No correlation","Spearman","OID21266",0.353399541634836,34,0.0409902434338705,0.0541262980547834,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O75023","LILRB5","Leukocyte immunoglobulin-like receptor subfamily B member 5","OID45178",0.846482631292758,78,NA,NA,"Strong correlation","Spearman","OID20324",0.867422774823008,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O75144","ICOSLG","ICOS ligand","OID43828",0.0795027757053073,78,NA,NA,"No correlation","Spearman","OID21351",0.551195801486387,88,4.57287913642314e-08,1.00443201265014e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O75223","GGCT","Gamma-glutamylcyclotransferase","OID44678",0.735732621808571,78,NA,NA,"Strong correlation","Spearman","OID30304",0.558128271853318,88,1.60716618177296e-08,3.68050835541921e-08,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O75326","SEMA7A","Semaphorin-7A","OID45253",0.475435956448615,78,NA,NA,"Weak correlation","Spearman","OID20283",0.717813020113597,88,3.54766242189692e-15,9.96345988637218e-15,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O75339","CILP","Cartilage intermediate layer protein 1","OID45072",0.819446376408402,78,NA,NA,"Strong correlation","Spearman","OID30399",0.498467824310521,88,1.10155816708793e-06,2.14423994938324e-06,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O75340","PDCD6","Programmed cell death protein 6","OID44837",-0.142767990179387,78,NA,NA,"No correlation","Spearman","OID20163",0.279947621565813,62,0.0278720588575956,0.0372397094085508,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O75347","TBCA","Tubulin-specific chaperone A","OID44970",0.583935052289483,78,NA,NA,"Moderate correlation","Spearman","OID30616",0.879821070057413,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O75348","ATP6V1G1","V-type proton ATPase subunit G 1","OID43395",0.686217008797654,78,NA,NA,"Moderate correlation","Spearman","OID30242",0.258741258741259,12,0.416938426539878,0.468381575685097,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O75351","VPS4B","Vacuolar protein sorting-associated protein 4B","OID44396",0.721746607822557,78,NA,NA,"Strong correlation","Spearman","OID31386",0.692741935483871,31,2.59568156246651e-05,4.5646798816584e-05,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O75356","ENTPD5","Nucleoside diphosphate phosphatase ENTPD5","OID43677",0.456821659353305,78,NA,NA,"Weak correlation","Spearman","OID20104",0.497501397901153,88,8.17171915909925e-07,1.62427305116603e-06,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O75509","TNFRSF21","Tumor necrosis factor receptor superfamily member 21","OID44990",0.386891589423235,78,NA,NA,"Weak correlation","Spearman","OID21052",0.576190476190476,35,0.000372349224390225,0.000597983320535652,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O75563","SKAP2","Src kinase-associated phosphoprotein 2","OID44936",0.832850693610187,78,NA,NA,"Strong correlation","Spearman","OID20761",0.48900293255132,32,0.00497161541000737,0.00717769027864236,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O75594","PGLYRP1","Peptidoglycan recognition protein 1","OID45219",0.590611919725844,78,NA,NA,"Moderate correlation","Spearman","OID20338",0.746891620583988,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O75629","CREG1","Protein CREG1","OID44566",0.424373095259171,78,NA,NA,"Weak correlation","Spearman","OID21515",0.316385474270015,88,0.0027873747087424,0.00412985045429157,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O75695","RP2","Protein XRP2","OID44192",0.205172741411353,78,NA,NA,"No correlation","Spearman","OID21302",-0.021978021978022,13,0.949418436540724,0.957212474661608,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O75787","ATP6AP2","Renin receptor","OID42162",0.128906773977196,78,NA,NA,"No correlation","Spearman","OID21178",0.476190476190476,8,0.243055555555556,0.286141524736415,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O75791","GRAP2","GRB2-related adapter protein 2","OID44694",0.721544278506304,78,NA,NA,"Strong correlation","Spearman","OID20192",0.669811902559359,46,8.38030821208944e-07,1.65988911779807e-06,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O75888","TNFSF13","Tumor necrosis factor ligand superfamily member 13","OID44992",0.329801777170198,78,NA,NA,"Weak correlation","Spearman","OID20733",0.86013986013986,12,0.000597084260510472,0.000934962732477564,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O76061","STC2","Stanniocalcin-2","OID45270",0.450271247739602,78,NA,NA,"Weak correlation","Spearman","OID21157",0.551054911767814,88,4.61587275383186e-08,1.01190686195654e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O76074","PDE5A","cGMP-specific 3',5'-cyclic phosphodiesterase","OID44838",0.488435615017893,78,NA,NA,"Weak correlation","Spearman","OID30584",0.858581944982565,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O76076","CCN5","CCN family member 5","OID45055",-0.146240993518558,78,NA,NA,"No correlation","Spearman","OID21068",0.526209677419355,63,1.29184054656684e-05,2.30365970297543e-05,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O94760","DDAH1","N(G),N(G)-dimethylarginine dimethylaminohydrolase 1","OID43598",0.0816326530612245,78,NA,NA,"No correlation","Spearman","OID21299",0.304048582995951,39,0.0602631275241394,0.0773148533804015,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O94856","NFASC","Neurofascin","OID44024",0.531051227253759,78,NA,NA,"Moderate correlation","Spearman","OID20634",0.43783422459893,33,0.0114545043906049,0.015945913017254,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O94903","PLPBP","Pyridoxal phosphate homeostasis protein","OID44856",0.62316715542522,78,NA,NA,"Moderate correlation","Spearman","OID20144",0.0166666666666667,9,0.981569664902998,0.984184859392083,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O94979","SEC31A","Protein transport protein Sec31A","OID44221",0.531936418012367,78,NA,NA,"Moderate correlation","Spearman","OID30269",0.83030303030303,10,0.00555680454585398,0.007971578567051,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O95274","LYPD3","Ly6/PLAUR domain-containing protein 3","OID44762",0.148699401863959,78,NA,NA,"No correlation","Spearman","OID21530",0.461466661970343,88,7.72871697276975e-06,1.40284910968763e-05,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O95372","LYPLA2","Acyl-protein thioesterase 2","OID42720",0.144495837187789,78,NA,NA,"No correlation","Spearman","OID30817",-0.393188854489164,18,0.107483216044424,0.13483172323795,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O95393","BMP10","Bone morphogenetic protein 10","OID44476",0.156109713071738,78,NA,NA,"No correlation","Spearman","OID30575",0.565560942092606,68,8.25055063275543e-07,1.63706004646413e-06,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O95445","APOM","Apolipoprotein M","OID45313",0.226140947659935,78,NA,NA,"No correlation","Spearman","OID20374",0.829224049874961,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O95497","VNN1","Pantetheinase","OID45432",0.864995763729941,78,NA,NA,"Strong correlation","Spearman","OID30711",0.933376774329893,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O95633","FSTL3","Follistatin-related protein 3","OID44663",0.556772341582468,78,NA,NA,"Moderate correlation","Spearman","OID20782",0.384072580645161,63,0.00202257817467991,0.00303252424862366,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O95727","CRTAM","Cytotoxic and regulatory T-cell molecule","OID43566",0.566163648558015,78,NA,NA,"Moderate correlation","Spearman","OID20914",0.697536945812808,29,4.17310638208643e-05,7.28197388775205e-05,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O95817","BAG3","BAG family molecular chaperone regulator 3","OID43403",0.237540458252019,78,NA,NA,"No correlation","Spearman","OID20972",0.30952380952381,8,0.461805555555556,0.51367337164751,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O95866","MPIG6B","Megakaryocyte and platelet inhibitory receptor G6b","OID44791",0.437382645803698,78,NA,NA,"Weak correlation","Spearman","OID20779",0.35,9,0.358581349206349,0.406464200054185,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O95980","RECK","Reversion-inducing cysteine-rich protein with Kazal motifs","OID44176",0.33929361777463,78,NA,NA,"Weak correlation","Spearman","OID30234",0.595120791457247,88,9.66847436816638e-10,2.43111526985743e-09,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","O95998","IL18BP","Interleukin-18-binding protein","OID45375",0.247967222650767,78,NA,NA,"No correlation","Spearman","OID20348",0.637812713602187,76,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P00325","ADH1B","All-trans-retinol dehydrogenase [NAD(+)] ADH1B","OID44448",0.771013796330252,78,NA,NA,"Strong correlation","Spearman","OID30612",0.79054982212673,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P00352","ALDH1A1","Aldehyde dehydrogenase 1A1","OID45029",0.729131627865805,78,NA,NA,"Strong correlation","Spearman","OID21128",0.908650628720369,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P00390","GSR","Glutathione reductase, mitochondrial","OID45368",0.283653055804954,78,NA,NA,"No correlation","Spearman","OID30700",0.498753995598883,88,7.59123855388194e-07,1.51155349688408e-06,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P00441","SOD1","Superoxide dismutase [Cu-Zn]","OID45412",0.0408801724591198,78,NA,NA,"No correlation","Spearman","OID20386",0.841353075600224,88,1.061430423071e-24,3.29218392210759e-24,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P00533","EGFR","Epidermal growth factor receptor","OID45115",0.327735555583657,78,NA,NA,"Weak correlation","Spearman","OID20319",0.589071312531301,88,1.56869165052394e-09,3.87538921978453e-09,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P00568","AK1","Adenylate kinase isoenzyme 1","OID44455",0.557809279328267,78,NA,NA,"Moderate correlation","Spearman","OID20122",0.876316438307915,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P00734","F2","Prothrombin","OID45463",0.0848897937505532,78,NA,NA,"No correlation","Spearman","OID30723",0.469816446309925,88,3.8740409308596e-06,7.27752447743842e-06,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P00736","C1R","Complement C1r subcomponent","OID45319",0.233551258867715,78,NA,NA,"No correlation","Spearman","OID30753",0.475170279187618,88,2.89754595197789e-06,5.50728851815327e-06,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P00740","F9","Coagulation factor IX","OID45357",0.55634239178543,78,NA,NA,"Moderate correlation","Spearman","OID20349",0.547948944868757,88,3.28432451723127e-08,7.34257897020614e-08,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P00742","F10","Coagulation factor X","OID45354",0.614689108359994,78,NA,NA,"Moderate correlation","Spearman","OID30684",0.683485450877723,88,2.17354403727395e-13,5.89887312039013e-13,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P00746","CFD","Complement factor D","OID45452",0.532416950138469,78,NA,NA,"Moderate correlation","Spearman","OID30738",0.69050051072523,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P00747","PLG","Plasminogen","OID45482",0.377660314369175,78,NA,NA,"Weak correlation","Spearman","OID30785",0.513137966256913,88,4.79435400397903e-07,9.66576012587914e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P00748","F12","Coagulation factor XII","OID45461",0.685833154187585,78,NA,NA,"Moderate correlation","Spearman","OID30739",0.662322567010673,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P00751","CFB","Complement factor B","OID45451",0.753031778348234,78,NA,NA,"Strong correlation","Spearman","OID30755",0.823641294776514,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P00813","ADA","Adenosine deaminase","OID43326",0.129629863807079,78,NA,NA,"No correlation","Spearman","OID20645",0.312707444286392,37,0.0599535109466952,0.0770051352204993,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P00915","CA1","Carbonic anhydrase 1","OID45322",0.848860000758735,78,NA,NA,"Strong correlation","Spearman","OID20409",0.928551301468776,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P00918","CA2","Carbonic anhydrase 2","OID45046",0.66729473058587,78,NA,NA,"Moderate correlation","Spearman","OID21149",0.904194991370505,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P00966","ASS1","Argininosuccinate synthase","OID43392",0.448534850640114,78,NA,NA,"Weak correlation","Spearman","OID30170",0.622002635046113,45,8.26699982767746e-06,1.49814491259195e-05,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P01008","SERPINC1","Antithrombin-III","OID45495",0.353406087583303,78,NA,NA,"Weak correlation","Spearman","OID30789",0.584915047534144,88,2.17496874848348e-09,5.26939853441599e-09,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P01009","SERPINA1","Alpha-1-antitrypsin","OID45489",0.444681900378103,78,NA,NA,"Weak correlation","Spearman","OID30750",0.416683177257293,88,5.38590505832458e-05,9.3119246720497e-05,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P01011","SERPINA3","Alpha-1-antichymotrypsin","OID45490",0.573186307363522,78,NA,NA,"Moderate correlation","Spearman","OID30786",0.825508083547603,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P01019","AGT","Angiotensinogen","OID45302",0.118678789564865,78,NA,NA,"No correlation","Spearman","OID30709",-0.0523935947734762,88,0.627817405208198,0.673129962469188,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P01024","C3","Complement C3","OID45445",0.100039201305024,78,NA,NA,"No correlation","Spearman","OID30776",0.423813884681765,88,4.58378862100802e-05,7.9862613474044e-05,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P01031","C5","Complement C5","OID45447",0.188912353469315,78,NA,NA,"No correlation","Spearman","OID30744",0.501356063541263,88,9.3777221365822e-07,1.84450318679465e-06,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P01033","TIMP1","Metalloproteinase inhibitor 1","OID45425",0.470782382174787,78,NA,NA,"Weak correlation","Spearman","OID20418",0.790708323060125,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P01034","CST3","Cystatin-C","OID45345",0.00413510540092819,78,NA,NA,"No correlation","Spearman","OID20400",0.727202282413441,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P01127","PDGFB","Platelet-derived growth factor subunit B","OID44839",0.311374682078014,78,NA,NA,"Weak correlation","Spearman","OID20741",0.0253469010175763,46,0.866988490096708,0.891466307212371,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P01130","LDLR","Low-density lipoprotein receptor","OID45174",0.674528003641928,78,NA,NA,"Moderate correlation","Spearman","OID20240",0.848138494593357,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P01133","EGF","Pro-epidermal growth factor","OID44618",0.187976580381644,78,NA,NA,"No correlation","Spearman","OID20698",-0.151515151515151,10,0.681807643477163,0.722780121582833,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P01137","TGFB1","Transforming growth factor beta-1 proprotein","OID44319",0.276799150216872,78,NA,NA,"No correlation","Spearman","OID20621",0.53756472121447,88,1.10128955448564e-07,2.35930912146923e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P01236","PRL","Prolactin","OID44871",0.67472001682528,78,NA,NA,"Moderate correlation","Spearman","OID21033",0.699701840808919,57,1.45409801451777e-09,3.60808056789134e-09,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P01266","TG","Thyroglobulin","OID44317",0.0442978074557022,78,NA,NA,"No correlation","Spearman","OID31359",0.324696356275304,39,0.0442362566221733,0.0580729461935275,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P01591","JCHAIN","Immunoglobulin J chain","OID42645",0.000189683733987531,78,NA,NA,"No correlation","Spearman","OID20494",0.517382269028918,88,3.74323606837098e-07,7.6146189571006e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P01732","CD8A","T-cell surface glycoprotein CD8 alpha chain","OID44521",0.500209947703936,78,NA,NA,"Moderate correlation","Spearman","OID21018",0.651948051948052,21,0.00176690886614429,0.00268123670682379,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P01833","PIGR","Polymeric immunoglobulin receptor","OID45221",0.674603877135523,78,NA,NA,"Moderate correlation","Spearman","OID21102",0.546810608995809,88,6.10131582838174e-08,1.32724192104874e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P01903","HLA-DRA","HLA class II histocompatibility antigen, DR alpha chain","OID43805",0.276192162268112,78,NA,NA,"No correlation","Spearman","OID20520",0.367845443978726,88,0.000460355470796888,0.000733062519787992,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02452","COL1A1","Collagen alpha-1(I) chain","OID45083",0.0319300952212345,78,NA,NA,"No correlation","Spearman","OID20335",0.82172167236096,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02461","COL3A1","Collagen alpha-1(III) chain","OID45084",0.212509009977364,78,NA,NA,"No correlation","Spearman","OID30379",0.773114719453348,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02462","COL4A1","Collagen alpha-1(IV) chain","OID44554",0.506291177177253,78,NA,NA,"Moderate correlation","Spearman","OID20208",0.304639804639805,27,0.122386690352843,0.152174640317577,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02533","KRT14","Keratin, type I cytoskeletal 14","OID42682",-0.00661363952503193,78,NA,NA,"No correlation","Spearman","OID20800",-0.00704448592863936,88,0.948019082579098,0.957212474661608,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02647","APOA1","Apolipoprotein A-I","OID45436",0.162660124685441,78,NA,NA,"No correlation","Spearman","OID30769",0.767288785576744,88,2.83435405100771e-18,8.3550541085841e-18,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02649","APOE","Apolipoprotein E","OID45439",0.291366860987114,78,NA,NA,"No correlation","Spearman","OID30727",0.484768433524271,88,1.70020890399134e-06,3.28687645994217e-06,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02652","APOA2","Apolipoprotein A-II","OID45309",-0.262914300888984,78,NA,NA,"No correlation","Spearman","OID30686",0.00405057940896763,88,0.970124637455413,0.976091802226809,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02671","FGA","Fibrinogen alpha chain","OID45464",0.210890375447337,78,NA,NA,"No correlation","Spearman","OID30788",0.750061639251876,88,0,0,"Strong correlation","Spearman"
