"UniProt","Gene.Name","Description","OlinkID","Assay","Panel","Panel_Lot_Nr","PlateID","Analyzed.MS","Detected.MS","Perc.Missing.MS","Analyzed.Olink","Detected.Olink","Perc.Missing.Olink","Overlapping","Detected.Platform","In.HPA","In.HPA.Plasma","In.HPPP","In.Ref.Plasma.Proteome"
"P05121","SERPINE1","Plasminogen activator inhibitor 1","OID20342","SERPINE1","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q16851","UGP2","UTP--glucose-1-phosphate uridylyltransferase",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P01768","IGHV3-30","Immunoglobulin heavy variable 3-30",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",FALSE,FALSE,TRUE,TRUE
"P11215","ITGAM","Integrin alpha-M","OID21071","ITGAM","Neurology","B04414","Run122",TRUE,TRUE,15.9090909090909,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q16853","AOC3","Membrane primary amine oxidase","OID20389","AOC3","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P10321","HLA-C","HLA class I histocompatibility antigen, C alpha chain",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P17693","HLA-G","HLA class I histocompatibility antigen, alpha chain G",NA,NA,NA,NA,NA,TRUE,TRUE,32.9545454545455,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P08174","CD55","Complement decay-accelerating factor","OID20377","CD55","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9H251","CDH23","Cadherin-23","OID31074","CDH23","Neurology II","B20707","Run123",TRUE,TRUE,13.6363636363636,TRUE,TRUE,52.2727272727273,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9Y6N7","ROBO1","Roundabout homolog 1","OID20734","ROBO1","Inflammation","B04411","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9HCK4","ROBO2","Roundabout homolog 2","OID21007","ROBO2","Neurology","B04414","Run122",TRUE,TRUE,53.4090909090909,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P08514","ITGA2B","Integrin alpha-IIb",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q96MU8","KREMEN1","Kremen protein 1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P09525","ANXA4","Annexin A4","OID20123","ANXA4","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q13228","SELENBP1","Methanethiol oxidase",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"A2VDF0","FUOM","Fucose mutarotase","OID30626","FUOM","Inflammation II","B20704","Run123",TRUE,TRUE,13.6363636363636,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P08236","GUSB","Beta-glucuronidase","OID20296","GUSB","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9HC56","PCDH9","Protocadherin-9","OID31516","PCDH9","Oncology II","B20705","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P54725","RAD23A","UV excision repair protein RAD23 homolog A",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P01344","IGF2","Insulin-like growth factor II",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P01880","IGHD","Immunoglobulin heavy constant delta",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,FALSE,TRUE,TRUE
"P21583","KITLG","Kit ligand","OID20196","KITLG","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P01699","IGLV1-44","Immunoglobulin lambda variable 1-44",NA,NA,NA,NA,NA,TRUE,TRUE,27.2727272727273,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q8WVV4","POF1B","Protein POF1B","OID30504","POF1B","Inflammation II","B20704","Run123",TRUE,TRUE,85.2272727272727,TRUE,TRUE,9.09090909090909,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q6ZMI3","GLDN","Gliomedin",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q9UKJ1","PILRA","Paired immunoglobulin-like type 2 receptor alpha","OID21129","PILRA","Neurology","B04414","Run122",TRUE,TRUE,13.6363636363636,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P55209","NAP1L1","Nucleosome assembly protein 1-like 1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q99733","NAP1L4","Nucleosome assembly protein 1-like 4","OID31475","NAP1L4","Oncology II","B20705","Run123",TRUE,TRUE,13.6363636363636,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P12955","PEPD","Xaa-Pro dipeptidase","OID30688","PEPD","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q86YT9","JAML","Junctional adhesion molecule-like",NA,NA,NA,NA,NA,TRUE,TRUE,11.3636363636364,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P16070","CD44","CD44 antigen",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P78417","GSTO1","Glutathione S-transferase omega-1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q16881","TXNRD1","Thioredoxin reductase 1, cytoplasmic","OID21135","TXNRD1","Neurology","B04414","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9H0U4","RAB1B","Ras-related protein Rab-1B",NA,NA,NA,NA,NA,TRUE,TRUE,90.9090909090909,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P62820","RAB1A","Ras-related protein Rab-1A",NA,NA,NA,NA,NA,TRUE,TRUE,76.1363636363636,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P59190","RAB15","Ras-related protein Rab-15",NA,NA,NA,NA,NA,TRUE,TRUE,88.6363636363636,FALSE,FALSE,NA,FALSE,"MS",TRUE,FALSE,FALSE,FALSE
"P61006","RAB8A","Ras-related protein Rab-8A",NA,NA,NA,NA,NA,TRUE,TRUE,44.3181818181818,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q15286","RAB35","Ras-related protein Rab-35",NA,NA,NA,NA,NA,TRUE,TRUE,21.5909090909091,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P61224","RAP1B","Ras-related protein Rap-1b",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,FALSE,FALSE,FALSE
"Q92973","TNPO1","Transportin-1","OID31330","TNPO1","Oncology II","B20705","Run123",TRUE,TRUE,13.6363636363636,TRUE,TRUE,95.4545454545455,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P21709","EPHA1","Ephrin type-A receptor 1","OID20677","EPHA1","Inflammation","B04411","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q6E0U4","DMKN","Dermokine",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q14847","LASP1","LIM and SH3 domain protein 1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P00167","CYB5A","Cytochrome b5","OID31171","CYB5A","Oncology II","B20705","Run123",TRUE,TRUE,0,TRUE,TRUE,61.3636363636364,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P08575","PTPRC","Receptor-type tyrosine-protein phosphatase C","OID30380","PTPRC","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P04179","SOD2","Superoxide dismutase [Mn], mitochondrial","OID21114","SOD2","Neurology","B04414","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q15375","EPHA7","Ephrin type-A receptor 7",NA,NA,NA,NA,NA,TRUE,TRUE,13.6363636363636,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P06756","ITGAV","Integrin alpha-V","OID21416","ITGAV","Oncology","B04412","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9H497","TOR3A","Torsin-3A",NA,NA,NA,NA,NA,TRUE,TRUE,54.5454545454545,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P25788","PSMA3","Proteasome subunit alpha type-3",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P00390","GSR","Glutathione reductase, mitochondrial","OID30700","GSR","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P78536","ADAM17","Disintegrin and metalloproteinase domain-containing protein 17",NA,NA,NA,NA,NA,TRUE,TRUE,22.7272727272727,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q96RD9","FCRL5","Fc receptor-like protein 5","OID21111","FCRL5","Neurology","B04414","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P28065","PSMB9","Proteasome subunit beta type-9",NA,NA,NA,NA,NA,TRUE,TRUE,13.6363636363636,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q16270","IGFBP7","Insulin-like growth factor-binding protein 7","OID20236","IGFBP7","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P19256","CD58","Lymphocyte function-associated antigen 3","OID20716","CD58","Inflammation","B04411","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P00338","LDHA","L-lactate dehydrogenase A chain",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P40227","CCT6A","T-complex protein 1 subunit zeta",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q99941","ATF6B","Cyclic AMP-dependent transcription factor ATF-6 beta",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q86SQ4","ADGRG6","Adhesion G-protein coupled receptor G6",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P28161","GSTM2","Glutathione S-transferase Mu 2",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q03013","GSTM4","Glutathione S-transferase Mu 4","OID30164","GSTM4","Cardiometabolic II","B20706","Run123",TRUE,TRUE,86.3636363636364,TRUE,TRUE,30.6818181818182,TRUE,"Both",TRUE,FALSE,FALSE,FALSE
"Q5TDH0","DDI2","Protein DDI1 homolog 2","OID30602","DDI2","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P60985","KRTDAP","Keratinocyte differentiation-associated protein",NA,NA,NA,NA,NA,TRUE,TRUE,25,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P35968","KDR","Vascular endothelial growth factor receptor 2","OID21497","KDR","Oncology","B04412","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P52209","PGD","6-phosphogluconate dehydrogenase, decarboxylating","OID30344","PGD","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9Y251","HPSE","Heparanase","OID30409","HPSE","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"O60888","CUTA","Protein CutA",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q13231","CHIT1","Chitotriosidase-1","OID20312","CHIT1","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P62873","GNB1","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1",NA,NA,NA,NA,NA,TRUE,TRUE,62.5,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q53RT3","ASPRV1","Retroviral-like aspartic protease 1",NA,NA,NA,NA,NA,TRUE,TRUE,76.1363636363636,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P28799","GRN","Progranulin","OID21159","GRN","Neurology","B04414","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P48960","ADGRE5","Adhesion G protein-coupled receptor E5","OID20260","ADGRE5","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q13642-1","FHL1","Isoform 1 of Four and a half LIM domains protein 1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",FALSE,FALSE,FALSE,FALSE
"Q9UNZ2","NSFL1C","NSFL1 cofactor p47","OID21022","NSFL1C","Neurology","B04414","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P04424","ASL","Argininosuccinate lyase",NA,NA,NA,NA,NA,TRUE,TRUE,13.6363636363636,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P37173","TGFBR2","TGF-beta receptor type-2","OID21493","TGFBR2","Oncology","B04412","Run122_-_INFONC",TRUE,TRUE,15.9090909090909,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9BU40","CHRDL1","Chordin-like protein 1","OID20771","CHRDL1","Inflammation","B04411","Run122_-_INFONC",TRUE,TRUE,13.6363636363636,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q96H15","TIMD4","T-cell immunoglobulin and mucin domain-containing protein 4","OID20375","TIMD4","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q5VTT5","MYOM3","Myomesin-3","OID30633","MYOM3","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q01973","ROR1","Inactive tyrosine-protein kinase transmembrane receptor ROR1","OID20224","ROR1","Cardiometabolic","B04413","Run122",TRUE,TRUE,50,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9Y2S2","CRYL1","Lambda-crystallin homolog",NA,NA,NA,NA,NA,TRUE,TRUE,13.6363636363636,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P39060","COL18A1","Collagen alpha-1(XVIII) chain","OID20332","COL18A1","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"O00468-6","AGRN","Isoform 6 of Agrin",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",FALSE,FALSE,FALSE,FALSE
"P26641","EEF1G","Elongation factor 1-gamma",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q9H2X3","CLEC4M","C-type lectin domain family 4 member M","OID30405","CLEC4M","Cardiometabolic II","B20706","Run123",TRUE,TRUE,75,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9NNX6","CD209","CD209 antigen","OID20262","CD209","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"O95428","PAPLN","Papilin",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q96NZ9","PRAP1","Proline-rich acidic protein 1","OID30391","PRAP1","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P23470","PTPRG","Receptor-type tyrosine-protein phosphatase gamma",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q9NP55","BPIFA1","BPI fold-containing family A member 1",NA,NA,NA,NA,NA,TRUE,TRUE,40.9090909090909,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q9BXJ4","C1QTNF3","Complement C1q tumor necrosis factor-related protein 3",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q9HCL0","PCDH18","Protocadherin-18",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P60174","TPI1","Triosephosphate isomerase",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P23471","PTPRZ1","Receptor-type tyrosine-protein phosphatase zeta","OID30343","PTPRZ1","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P12318","FCGR2A","Low affinity immunoglobulin gamma Fc region receptor II-a","OID20391","FCGR2A","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9P2X0","DPM3","Dolichol-phosphate mannosyltransferase subunit 3",NA,NA,NA,NA,NA,TRUE,TRUE,36.3636363636364,FALSE,FALSE,NA,FALSE,"MS",TRUE,FALSE,FALSE,FALSE
"P80303","NUCB2","Nucleobindin-2","OID21448","NUCB2","Oncology","B04412","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P54578","USP14","Ubiquitin carboxyl-terminal hydrolase 14",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q8TDQ0","HAVCR2","Hepatitis A virus cellular receptor 2","OID21137","HAVCR2","Neurology","B04414","Run122",TRUE,TRUE,27.2727272727273,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P37837","TALDO1","Transaldolase","OID30414","TALDO1","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P36269","GGT5","Glutathione hydrolase 5 proenzyme","OID20909","GGT5","Neurology","B04414","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"O95292","VAPB","Vesicle-associated membrane protein-associated protein B/C",NA,NA,NA,NA,NA,TRUE,TRUE,79.5454545454545,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q9P0L0","VAPA","Vesicle-associated membrane protein-associated protein A",NA,NA,NA,NA,NA,TRUE,TRUE,67.0454545454545,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q9BYH1","SEZ6L","Seizure 6-like protein","OID21488","SEZ6L","Oncology","B04412","Run122_-_INFONC",TRUE,TRUE,39.7727272727273,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q6UXD5","SEZ6L2","Seizure 6-like protein 2","OID21289","SEZ6L2","Oncology","B04412","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q8WZ75","ROBO4","Roundabout homolog 4","OID30226","ROBO4","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P0DMM9","SULT1A3","Sulfotransferase 1A3",NA,NA,NA,NA,NA,TRUE,TRUE,60.2272727272727,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P50225","SULT1A1","Sulfotransferase 1A1","OID21031","SULT1A1","Neurology","B04414","Run122",TRUE,TRUE,25,TRUE,TRUE,0,TRUE,"Both",TRUE,FALSE,FALSE,FALSE
"P20023","CR2","Complement receptor type 2","OID20393","CR2","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P68036","UBE2L3","Ubiquitin-conjugating enzyme E2 L3",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P59998","ARPC4","Actin-related protein 2/3 complex subunit 4",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P61978","HNRNPK","Heterogeneous nuclear ribonucleoprotein K","OID20051","HNRNPK","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,2.27272727272727,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P41271","NBL1","Neuroblastoma suppressor of tumorigenicity 1","OID21486","NBL1","Oncology","B04412","Run122_-_INFONC",TRUE,TRUE,13.6363636363636,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P51161","FABP6","Gastrotropin","OID20076","FABP6","Cardiometabolic","B04413","Run122",TRUE,TRUE,25,TRUE,TRUE,1.13636363636364,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P98155","VLDLR","Very low-density lipoprotein receptor",NA,NA,NA,NA,NA,TRUE,TRUE,34.0909090909091,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q6UXH9","PAMR1","Inactive serine protease PAMR1","OID21153","PAMR1","Neurology","B04414","Run122",TRUE,TRUE,25,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9H159","CDH19","Cadherin-19",NA,NA,NA,NA,NA,TRUE,TRUE,13.6363636363636,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P23280","CA6","Carbonic anhydrase 6","OID21096","CA6","Neurology","B04414","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"O60506","SYNCRIP","Heterogeneous nuclear ribonucleoprotein Q",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q70J99","UNC13D","Protein unc-13 homolog D",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q12906","ILF3","Interleukin enhancer-binding factor 3",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"O75340","PDCD6","Programmed cell death protein 6","OID20163","PDCD6","Cardiometabolic","B04413","Run122",TRUE,TRUE,29.5454545454545,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9UIB8","CD84","SLAM family member 5","OID20607","CD84","Inflammation","B04411","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q02153","GUCY1B1","Guanylate cyclase soluble subunit beta-1",NA,NA,NA,NA,NA,TRUE,TRUE,85.2272727272727,FALSE,FALSE,NA,FALSE,"MS",TRUE,FALSE,FALSE,FALSE
"Q8NDA2","HMCN2","Hemicentin-2","OID30592","HMCN2","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q14956","GPNMB","Transmembrane glycoprotein NMB","OID20173","GPNMB","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9H6X2","ANTXR1","Anthrax toxin receptor 1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q12913","PTPRJ","Receptor-type tyrosine-protein phosphatase eta",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q8IWK6","ADGRA3","Adhesion G protein-coupled receptor A3",NA,NA,NA,NA,NA,TRUE,TRUE,40.9090909090909,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q16822","PCK2","Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",NA,NA,NA,NA,NA,TRUE,TRUE,85.2272727272727,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q12805","EFEMP1","EGF-containing fibulin-like extracellular matrix protein 1","OID20414","EFEMP1","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
